Názov stanice,Cestovný poriadok,Bezbariérový prístup
Jesenské údolie,150,
Jovice,160,áno
Kalinovo,162,áno
Kalná nad Hronom,150,áno
Kalonda,161,áno
Kalša,190,áno
Kamanová,140,
Kamenica nad Cirochou,196,áno
Kamenica nad Cirochou dvor,196,áno
Kameničná,136,
Kamenný Most nad Hronom,152,
Kamenín,152,áno
Kapince,142,
Kapušany pri Prešove,"193,194",
Katarínska Huta,163,
Katúň,187,áno
Kaňová,122,
Kechnec,169,áno
Kendice,188,áno
Kežmarok,185,áno
Kežmarok zastávka,185,áno
Kežmarok-Pradiareň,185,áno
Kluknava,180,
Kláštor pod Znievom,170,áno
Klčovany,116,áno
Kmeťovo,151,
Kochanovce,191,áno
Kociha,174,
Kokava nad Rimavicou,162,áno
Kokava nad Rimavicou-Liešnica,162,áno
Kolárovo,136,
Komjatice,140,
Komárany,193,
Komárno,"131,135,136",áno
Komárno závody,131,
Komárno škola,136,
Koniarovce,140,
Konská pri Rajci,126,
Kopčany,114,
Kostiviarska,170,
Kostolná-Zariečie,120,áno
Kostoľany nad Hornádom,180,áno
Kozelník,154,
Kozárovce,"141,150",áno
Kozárovce zastávka,141,
Koš,140,áno
Košeca,120,áno
Košice,"120,160,169,180,190",áno
Košice predmestie,"160,169,190",áno
Koškovce,191,áno
Košťany nad Turcom,170,áno
Kraľovany,"120,180,181",áno
Kraľovany zastávka,181,áno
Kremnica,171,
Kremnické Bane,171,
Krivany,188,
Krivá,181,
Kriváň,160,áno
Krišovská Liesková,195,
Križovany nad Dudváhom,133,áno
Krompachy,180,áno
Krpeľany,180,áno
Krupina,153,
Krupina predmestie,153,
Krušovce,140,
Krásna Hôrka,181,
Krásna nad Hornádom,190,áno
Krásno nad Kysucou,127,áno
Krásny Brod,191,
Kráľka,136,
Kráľova Lehota,180,
Kuchyňa,112,
Kuklov,116,áno
Kunova Teplica,166,
Kuzmice,190,áno
Kvetoslavov,131,áno
Kvetoslavov zastávka,131,áno
Kysak,"120,180,188",áno
Kysucké Nové Mesto,127,áno
Kátov,114,
Kútniky,131,
Kúty,"110,114,116",áno
Kľačany,141,áno
Kľače,126,áno
Kľušov,194,
Lada,193,
Ladce,120,áno
Ladice,141,
Lastovce,191,áno
Laškovce,191,
Lednické Rovne,124,
Lehnice,131,áno
Lenartovce,160,
Leopoldov,"120,133,141",áno
Leopoldov zastávka,141,áno
Letanovce,180,áno
Levice,"150,152",áno
Levoča,186,áno
Lietavská Lúčka,126,áno
Likier,174,
Lipany,188,áno
Lipníky,193,áno
Lipovník,160,áno
Liptovská Teplá,180,áno
Liptovské Vlachy,180,áno
Liptovský Hrádok,180,
Liptovský Mikuláš,"120,180",áno
Lisková zastávka,180,
Ličartovce,188,áno
Lok,150,
Lopej,172,áno
Lovinobaňa,160,
Lovinobaňa zastávka,160,
Lozorno,112,
Lubeník,165,áno
Ludanice,140,
Lučatín,172,
Lučenec,"160,161,162",áno
Lučivná,180,áno
Lužianky,"140,141",áno
Lysá pod Makytou,125,
Lábske Jazero zastávka,113,
Lúky pod Makytou,125,áno
Lúky pod Makytou št. hr. ? Olomouc,TN,
Lúčnica nad Žitavou,151,
Madunice,120,áno
Makov,128,áno
Malacky,110,áno
Malá Lodina,180,áno
Malá Maňa,151,
Malá Paka,131,áno
Malé Ripňany,142,
Malé Zálužie,142,
Malý Čepčín,170,áno
Margecany,"120,173,180",áno
Margecany zastávka,180,áno
Markušovce,180,áno
Martin,170,
Martinová,151,
Matejovce nad Hornádom,180,áno
Matejovce pri Poprade,185,áno
Maňa,151,
Maňa zastávka,151,
Maša,163,
Medzev,168,
Medzibrod,172,
Medzibrodie nad Oravou,181,áno
Medzilaborce,191,áno
Medzilaborce mesto,191,
Melčice,120,áno
Michal na Ostrove,131,áno
Michal nad Žitavou,151,
Michalovce,191,áno
Michalovce zastávka,191,
Michalová,174,
Michalová zastávka,174,
Michaľany,"190,191",áno
Mikušovce,161,áno
Milhostov,192,
Miloslavov,131,áno
Mlynky,173,áno
Mlynky zastávka,173,
Mlynárce,140,áno
Mládzovo,163,
Mníchova Lehota,143,
Mníšek nad Hnilcom,173,áno
Modra nad Cirochou,196,áno
Mokrance,160,áno
Mokraď,181,áno
Mokrá Lúka,165,áno
Moldava nad Bodvou,"160,168",áno
Moldava nad Bodvou mesto,168,
Monastyr,191,áno
Moravský Svätý Ján,110,áno
Muránska Dlhá Lúka,165,áno
Muráň,165,áno
Mužla,130,
Myjava,121,áno
Mýtna,160,
Mýtna Nová Ves,140,
Nacina Ves,191,áno
Nadabula,167,
Neded,134,
Nedožery,144,áno
Nemecká,172,áno
Nemšová,"123,124",
Nezbudská Lúčka-Strečno,180,
Nitra,140,áno
Nitra zastávka,140,áno
Nitrianske Pravno,144,áno
Nižná,181,
Nižná Myšľa,190,áno
Nižná Slaná,167,
Nižná Slaná obec,167,
Nižné Ružbachy,185,áno
Nižné Čabiny,191,
Nižný Hrabovec,193,
Nižný Kelčov,128,áno
Nižný Skálnik,174,
Nosice,120,
Nová Baňa,150,
Nová Lesná,183,áno
Nová Maša,172,
Nová Polianka,183,
Nová Stráž,131,
Nová Ves nad Žitavou,151,
Nová Vieska,130,
Nováky,140,áno
Nové Košariská,131,áno
Nové Mesto nad Váhom,"120,121",áno
Nové Sady,142,
Nové Zámky,"130,135,140,150,151",áno
Nový Smokovec,183,áno
Nálepkovo,173,áno
Nálepkovo-Peklisko,173,áno
Obišovce,188,áno
Ochodnica,127,áno
Ochtiná,166,
Okoličná na Ostrove,131,
Okoličné,180,áno
Okoč,131,
Olcnava,180,áno
Ondrochov,140,
Opatová pri Lučenci,162,áno
Oravský Podzámok,181,áno
Oravský Podzámok zastávka,181,áno
Orechová Potôň,131,áno
Orkucany,188,
Orlov,188,
Orávka,160,áno
Oslany,140,áno
Ostratice,143,
Osuské,117,
Oščadnica,127,áno
Palárikovo,130,áno
Paprad,121,áno
Parchovany,192,
Partizánske,140,áno
Partizánske zastávka,140,áno
Pastovce,153,
Pavlovce,193,
Pašková,166,
Pekná Vyhliadka,184,áno
